grupo_1,codigo,descricao,custo_unitario,unidade
Alvenaria Estrutural - Blocos de Concreto,104442,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA. AF_10/2022",0,M2
Alvenaria Estrutural - Blocos de Concreto,89472,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",125.46,M2
Alvenaria Estrutural - Blocos de Concreto,89455,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO PALHETA. AF_10/2022",112.68,M2
Alvenaria Estrutural - Blocos de Concreto,89470,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",104.49,M2
Alvenaria Estrutural - Blocos de Concreto,89453,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO PALHETA. AF_10/2022",92.69,M2
Alvenaria Estrutural - Blocos de Concreto,104443,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",0,M2
Alvenaria Estrutural - Blocos de Concreto,104441,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA. AF_10/2022",0,M2
Alvenaria de Vedação,103354,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X14X24 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",89.44,M2
Alvenaria de Vedação,103355,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X14X24 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",90.58,M2
Alvenaria de Vedação,103330,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X19 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",83.12,M2
Alvenaria de Vedação,103331,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X19 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",84.2,M2
Alvenaria de Vedação,103358,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X29 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",70.51,M2
Alvenaria de Vedação,103359,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X29 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",71.42,M2
Alvenaria de Vedação,103366,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X39 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",61.94,M2
Alvenaria de Vedação,103367,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X39 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",62.77,M2
Alvenaria de Vedação,103360,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X29 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,82.42,M2
Alvenaria de Vedação,103361,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X29 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,83.57,M2
Alvenaria de Vedação,103368,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,70.17,M2
Alvenaria de Vedação,103369,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,71.21,M2
Alvenaria de Vedação,103334,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X9X19 CM (ESPESSURA 14 CM, BLOCO DEITADO) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",145.16,M2
Alvenaria de Vedação,103335,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X9X19 CM (ESPESSURA 14 CM, BLOCO DEITADO) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",147.17,M2
Alvenaria de Vedação,103362,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X29 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,100.27,M2
Alvenaria de Vedação,103363,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X29 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,101.56,M2
Alvenaria de Vedação,103370,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,89,M2
Alvenaria de Vedação,103371,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,90.18,M2
Alvenaria de Vedação,103332,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,120.42,M2
Alvenaria de Vedação,103333,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,121.57,M2
Alvenaria de Vedação,103352,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X24 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,103.55,M2
Alvenaria de Vedação,103353,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X24 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,104.62,M2
Alvenaria de Vedação,103328,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,94.85,M2
Alvenaria de Vedação,103329,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,95.85,M2
Alvenaria de Vedação,103356,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X29 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,62.01,M2
Alvenaria de Vedação,103357,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X29 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,62.86,M2
Alvenaria de Vedação,103364,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,51.88,M2
Alvenaria de Vedação,103365,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,52.41,M2
Alvenaria de Vedação,103350,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X9X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,175.76,M2
Alvenaria de Vedação,103351,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X9X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,177.24,M2
Alvenaria de Vedação,103344,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 11,5X19X29 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",83.93,M2
Alvenaria de Vedação,103345,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 11,5X19X29 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",85.27,M2
Alvenaria de Vedação,103348,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 11,5X19X39 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",70.93,M2
Alvenaria de Vedação,103349,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 11,5X19X39 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",72.15,M2
Alvenaria de Vedação,103346,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 14X19X29 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,93,M2
Alvenaria de Vedação,103347,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 14X19X29 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,94.43,M2
Alvenaria de Vedação,103324,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,80.3,M2
Alvenaria de Vedação,103325,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,81.59,M2
Alvenaria de Vedação,103326,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,94.68,M2
Alvenaria de Vedação,103327,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,96.19,M2
Alvenaria de Vedação,103322,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,60.31,M2
Alvenaria de Vedação,103323,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,61.45,M2
Alvenaria de Vedação,103338,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO APARENTE DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,117.47,M2
Alvenaria de Vedação,103339,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO APARENTE DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,118.59,M2
Alvenaria de Vedação,103340,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO APARENTE DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,142.5,M2
Alvenaria de Vedação,103341,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO APARENTE DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,143.9,M2
Alvenaria de Vedação,103336,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO APARENTE DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,89.53,M2
Alvenaria de Vedação,103337,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO APARENTE DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,90.49,M2
Alvenaria de Vedação,103342,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO DE 14X19X29 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,121.14,M2
Alvenaria de Vedação,103343,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO DE 14X19X29 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,122.38,M2
Alvenaria de Vedação,103318,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,103.68,M2
Alvenaria de Vedação,103319,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,104.8,M2
Alvenaria de Vedação,103320,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,124.7,M2
Alvenaria de Vedação,103321,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,126.1,M2
Alvenaria de Vedação,103316,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,80.1,M2
Alvenaria de Vedação,103317,ALVENARIA DE VEDAÇÃO DE BLOCOS VAZADOS DE CONCRETO DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,81.06,M2
Alvenarias Diversas,101166,"ALVENARIA DE EMBASAMENTO COM BLOCO ESTRUTURAL DE CERÂMICA, DE 14X19X29CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020",674.08,M3
Alvenarias Diversas,101165,"ALVENARIA DE EMBASAMENTO COM BLOCO ESTRUTURAL DE CONCRETO, DE 14X19X29CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020",1030.46,M3
Alvenarias Diversas,101163,"ALVENARIA DE VEDAÇÃO COM BLOCO DE VIDRO VAZADO, TIPO VENEZIANA, DE 6X20X20CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020",684.94,M2
Alvenarias Diversas,101164,"ALVENARIA DE VEDAÇÃO COM BLOCO DE VIDRO, TIPO CANELADO, DE 8X19X19CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020",695.51,M2
Alvenarias Diversas,101162,ALVENARIA DE VEDAÇÃO COM ELEMENTO VAZADO DE CERÂMICA (COBOGÓ) DE 7X20X20CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020,156.99,M2
Alvenarias Diversas,101161,ALVENARIA DE VEDAÇÃO COM ELEMENTO VAZADO DE CONCRETO (COBOGÓ) DE 7X50X50CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020,239.18,M2
Alvenarias Diversas,101160,ALVENARIA DE VEDAÇÃO DE BLOCO DE SOLO-CIMENTO (TIJOLO ECOLÓGICO) DE 7X15X30CM (ESPESSURA 15CM). AF_05/2020,0,M2
Alvenarias Diversas,101159,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS MACIÇOS DE 5X10X20CM (ESPESSURA 10CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020,137.68,M2
Alvenarias Diversas,101154,ALVENARIA DE VEDAÇÃO DE BLOCOS DE CONCRETO CELULAR DE 10X30X60CM (ESPESSURA 10CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020,130.62,M2
Alvenarias Diversas,101155,ALVENARIA DE VEDAÇÃO DE BLOCOS DE CONCRETO CELULAR DE 15X30X60CM (ESPESSURA 15CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020,183.16,M2
Alvenarias Diversas,101156,ALVENARIA DE VEDAÇÃO DE BLOCOS DE CONCRETO CELULAR DE 20X30X60CM (ESPESSURA 20CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020,268.57,M2
Alvenarias Diversas,101158,ALVENARIA DE VEDAÇÃO DE BLOCOS DE GESSO DE 10X50X66CM (ESPESSURA 10CM). AF_05/2020,83.76,M2
Alvenarias Diversas,101157,ALVENARIA DE VEDAÇÃO DE BLOCOS DE GESSO DE 7X50X66CM (ESPESSURA 7CM). AF_05/2020,64.09,M2
Argamassas,87382,"ARGAMASSA INDUSTRIALIZADA MULTIUSO PARA REVESTIMENTOS E ASSENTAMENTO DA ALVENARIA, PREPARO COM MISTURADOR DE EIXO HORIZONTAL DE 160 KG. AF_08/2019",2464.04,M3
Argamassas,87383,"ARGAMASSA INDUSTRIALIZADA MULTIUSO PARA REVESTIMENTOS E ASSENTAMENTO DA ALVENARIA, PREPARO COM MISTURADOR DE EIXO HORIZONTAL DE 300 KG. AF_08/2019",2461.42,M3
Argamassas,87384,"ARGAMASSA INDUSTRIALIZADA MULTIUSO PARA REVESTIMENTOS E ASSENTAMENTO DA ALVENARIA, PREPARO COM MISTURADOR DE EIXO HORIZONTAL DE 600 KG. AF_08/2019",2451.14,M3
Argamassas,87398,"ARGAMASSA INDUSTRIALIZADA MULTIUSO PARA REVESTIMENTOS E ASSENTAMENTO DA ALVENARIA, PREPARO MANUAL. AF_08/2019",2676.39,M3
Argamassas,87395,"ARGAMASSA INDUSTRIALIZADA PARA CHAPISCO COLANTE, PREPARO COM MISTURADOR DE EIXO HORIZONTAL DE 160 KG. AF_08/2019",4839.02,M3
Argamassas,87396,"ARGAMASSA INDUSTRIALIZADA PARA CHAPISCO COLANTE, PREPARO COM MISTURADOR DE EIXO HORIZONTAL DE 300 KG. AF_08/2019",4871.82,M3
